year,race_name,circuitId,driverId,constructorId,quali_position,race_position,grid,q1,q2,q3,laps,statusId
2008,Australian Grand Prix,1,1,1,1,1.0,1,1:26.572,1:25.187,1:26.714,58,1
2008,Australian Grand Prix,1,9,2,2,,2,1:26.103,1:25.315,1:26.869,47,4
2008,Australian Grand Prix,1,5,1,3,5.0,3,1:25.664,1:25.452,1:27.079,58,1
2008,Australian Grand Prix,1,13,6,4,,4,1:25.994,1:25.691,1:27.178,29,5
2008,Australian Grand Prix,1,2,2,5,2.0,5,1:25.960,1:25.518,1:27.236,58,1
2008,Australian Grand Prix,1,15,7,6,,6,1:26.427,1:26.101,1:28.527,19,10
2008,Australian Grand Prix,1,3,3,7,3.0,7,1:26.295,1:26.059,1:28.687,58,1
2008,Australian Grand Prix,1,14,9,8,,8,1:26.381,1:26.063,1:29.041,25,4
2008,Australian Grand Prix,1,10,7,9,,18,1:26.919,1:26.164,1:29.593,43,3
2008,Australian Grand Prix,1,20,5,10,,9,1:26.702,1:25.842,,0,4
2008,Australian Grand Prix,1,22,11,11,,10,1:26.369,1:26.173,,58,2
2008,Australian Grand Prix,1,4,4,12,4.0,11,1:26.907,1:26.188,,58,1
2008,Australian Grand Prix,1,18,11,13,,12,1:26.712,1:26.259,,0,4
2008,Australian Grand Prix,1,6,3,14,6.0,13,1:26.891,1:26.413,,57,11
2008,Australian Grand Prix,1,17,9,15,,14,1:26.914,,,0,4
2008,Australian Grand Prix,1,8,6,16,8.0,15,1:26.140,,,53,5
2008,Australian Grand Prix,1,21,10,17,,16,1:27.207,,,0,4
2008,Australian Grand Prix,1,7,5,18,7.0,17,1:27.446,,,55,5
2008,Australian Grand Prix,1,16,10,19,,22,1:27.859,,,8,9
2008,Australian Grand Prix,1,11,8,20,,19,1:28.208,,,32,7
2008,Australian Grand Prix,1,12,4,21,,20,1:28.330,,,30,8
2008,Australian Grand Prix,1,19,8,22,,21,1:29.059,,,0,4
2008,Malaysian Grand Prix,2,13,6,1,,1,1:35.347,1:34.412,1:35.748,30,20
2008,Malaysian Grand Prix,2,8,6,2,1.0,2,1:35.645,1:34.188,1:36.230,56,1
2008,Malaysian Grand Prix,2,5,1,3,3.0,8,1:35.227,1:34.759,1:36.613,56,1
2008,Malaysian Grand Prix,2,1,1,4,5.0,9,1:35.392,1:34.627,1:36.709,56,1
2008,Malaysian Grand Prix,2,15,7,5,4.0,3,1:35.205,1:34.960,1:36.711,56,1
2008,Malaysian Grand Prix,2,9,2,6,2.0,4,1:35.794,1:34.811,1:36.727,56,1
2008,Malaysian Grand Prix,2,2,2,7,6.0,5,1:35.729,1:34.648,1:36.753,56,1
2008,Malaysian Grand Prix,2,17,9,8,7.0,6,1:35.440,1:34.967,1:37.009,56,1
2008,Malaysian Grand Prix,2,4,4,9,8.0,7,1:35.983,1:35.140,1:38.450,56,1
2008,Malaysian Grand Prix,2,10,7,10,,10,1:35.891,1:35.000,1:39.656,1,4
2008,Malaysian Grand Prix,2,18,11,11,10.0,11,1:35.847,1:35.208,,56,1
2008,Malaysian Grand Prix,2,14,9,12,9.0,12,1:36.058,1:35.408,,56,1
2008,Malaysian Grand Prix,2,12,4,13,11.0,13,1:36.074,1:35.562,,56,1
2008,Malaysian Grand Prix,2,22,11,14,13.0,14,1:36.198,1:35.622,,55,11
2008,Malaysian Grand Prix,2,20,5,15,,15,1:36.111,1:35.648,,39,5
2008,Malaysian Grand Prix,2,3,3,16,14.0,16,1:35.843,1:35.670,,55,11
2008,Malaysian Grand Prix,2,21,10,17,12.0,17,1:36.240,,,55,11
2008,Malaysian Grand Prix,2,6,3,18,17.0,22,1:36.388,,,54,12
