n,Driver,Year,Constructor,Nb
1,SCHUMACHER Michael,1994 1995 2000 2001 2002 2003 2004,Benetton Benetton Ferrari Ferrari Ferrari Ferrari Ferrari,7
2,HAMILTON Lewis,2008 2014 2015 2017 2018 2019 2020,McLaren Mercedes Mercedes Mercedes Mercedes Mercedes Mercedes,7
3,FANGIO Juan Manuel,1951 1954 1955 1956 1957,Alfa Romeo Maserati / Mercedes Mercedes Ferrari Maserati,5
4,PROST Alain,1985 1986 1989 1993,McLaren McLaren McLaren Williams,4
5,VETTEL Sebastian,2010 2011 2012 2013,Red Bull Red Bull Red Bull Red Bull,4
6,VERSTAPPEN Max,2021 2022 2023 2024,Red Bull Red Bull Red Bull Red Bull,4
7,BRABHAM Jack,1959 1960 1966,Cooper Cooper Brabham,3
8,STEWART Jackie,1969 1971 1973,Matra Tyrrell Tyrrell,3
9,LAUDA Niki,1975 1977 1984,Ferrari Ferrari McLaren,3
10,PIQUET Nelson,1981 1983 1987,Brabham Brabham Williams,3
11,SENNA Ayrton,1988 1990 1991,McLaren McLaren McLaren,3
12,ASCARI Alberto,1952 1953,Ferrari Ferrari,2
13,CLARK Jim,1963 1965,Lotus Lotus,2
14,HILL Graham,1962 1968,BRM Lotus,2
15,FITTIPALDI Emerson,1972 1974,Lotus McLaren,2
16,HAKKINEN Mika,1998 1999,McLaren McLaren,2
17,ALONSO Fernando,2005 2006,Renault Renault,2
18,FARINA Giuseppe,1950,Alfa Romeo,1
19,HAWTHORN Mike,1958,Ferrari,1
20,HILL Phil,1961,Ferrari,1
21,SURTEES John,1964,Ferrari,1
22,HULME Denny,1967,Brabham,1
23,RINDT Jochen,1970,Lotus,1
24,HUNT James,1976,McLaren,1
25,ANDRETTI Mario,1978,Lotus,1
26,SCHECKTER Jody,1979,Ferrari,1
27,JONES Alan,1980,Williams,1
28,ROSBERG Keke,1982,Williams,1
29,MANSELL Nigel,1992,Williams,1
30,HILL Damon,1996,Williams,1
31,VILLENEUVE Jacques,1997,Williams,1
32,RAIKKONEN Kimi,2007,Ferrari,1
33,BUTTON Jenson,2009,Brawn GP,1
34,ROSBERG Nico,2016,Mercedes,1
35,NORRIS Lando,2025,McLaren,1
